,rssi_1_1,rssi_1_2,rssi_1_3,rssi_2_1,rssi_2_2,rssi_2_3,rssi_3_1,rssi_3_2,rssi_3_3,delay_1,delay_2,delay_3,lat,lon,indoor,bts_1_dist,bts_2_dist,bts_3_dist
1002,-106.07,-115.0,-106.67,-104.161666666667,-96.93857142857142,-93.39,-97.8942857142857,-94.99,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True,0.012010762881683379,0.007374061364000055,0.0063038579457371175
1004,-101.196666666667,-115.0,-96.04,-115.0,-96.79,-96.1,-94.42,-96.7,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1007,-96.5,-89.04701298701298,-94.1315238095238,-95.6,-94.31,-74.56107142857141,-88.9,-91.6292727272727,-95.8575,7.0,3.0,5.0,-8.05931,-34.94698,False,0.016664108136950104,0.0068222623813536856,0.011626112849958549
1008,-103.705,-110.425,-107.381666666667,-110.33,-108.21,-106.59,-107.153333333333,-102.12,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True,0.012375903239764088,0.00742136813532404,0.006411956097795822
1009,-115.0,-115.0,-115.0,-115.0,-96.33,-93.4833333333333,-79.2,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True,0.01228223338810961,0.007221406857398423,0.006579077214928061
1010,-103.04,-115.0,-98.56,-115.0,-95.6766666666667,-95.83,-99.255,-95.688,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
1011,-89.11,-96.3728571428571,-77.89,-100.565,-99.085,-95.64714285714292,-63.7933333333333,-85.818,-77.96,4.0,5.0,1.0,-8.05311,-34.95564,False,0.01035112071227305,0.010970206196791338,0.0031609650425143735
1012,-109.088333333333,-107.2,-107.148571428571,-107.5475,-105.567142857143,-104.704285714286,-104.23,-105.125,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1013,-105.216666666667,-115.0,-104.04,-115.0,-102.425,-99.87,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1014,-83.2,-94.77,-78.81714285714291,-98.6366666666667,-95.3425,-94.68142857142858,-89.895,-102.228666666667,-94.53,3.0,5.0,2.0,-8.0491,-34.95664,False,0.0073343029662004885,0.01255376931443608,0.006346337526480517
1015,-87.91,-90.6128571428572,-88.00285714285721,-91.34,-89.71,-89.86142857142859,-92.7333333333333,-96.59,-95.1975,3.0,3.0,3.0,-8.05137,-34.95127,False,0.007983445371517992,0.00677082003896493,0.007717473679904193
1016,-96.71,-84.74285714285709,-95.2635714285714,-96.71,-97.685,-102.64,-106.07,-102.064,-94.6125,3.0,2.0,5.0,-8.04809,-34.94753,False,0.006464503074482041,0.005586426764937863,0.01264159008985952
1018,-105.225,-115.0,-105.21,-115.0,-105.835,-115.0,-87.875,-88.13285714285709,-108.12,5.0,3.0,2.0,-8.055784,-34.951608,True,0.012370212609328666,0.0075155393685377644,0.006309085512181927
1020,-91.4642857142857,-91.97,-91.6666666666667,-90.22,-83.4025,-75.52,-89.4841666666667,-90.88,-96.3725,5.0,2.0,3.0,-8.05543,-34.950520000000004,False,0.012100847077786877,0.006375790460804479,0.007380819737669132
1021,-107.65,-115.0,-98.56,-115.0,-97.81,-97.84571428571432,-99.255,-101.098,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
1025,-98.748,-97.85,-98.61,-97.49,-88.255,-90.82,-100.03,-97.07,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1026,-89.81571428571432,-99.1157142857143,-89.98571428571432,-96.235,-92.505,-92.23571428571432,-78.95,-81.64,-91.54,6.0,5.0,0.0,-8.055819999999999,-34.95636,False,0.013144185026085638,0.012049657422515512,0.0016191355718457397
1027,-82.38,-75.64,-76.69,-86.26,-92.46,-91.99285714285708,-84.0633333333333,-104.362,-82.02,4.0,7.0,3.0,-8.04907,-34.95975,False,0.009590881085699826,0.015554371861315149,0.006518051856190328
1030,-97.8633333333333,-115.0,-98.8,-115.0,-99.675,-96.98,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1031,-98.748,-106.79,-98.61,-99.62,-89.535,-90.82,-100.03,-95.785,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1033,-103.116666666667,-115.0,-104.04,-115.0,-102.425,-96.98,-96.98,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1036,-103.705,-110.425,-107.381666666667,-110.33,-93.8,-99.03,-98.33,-97.9266666666667,-115.0,5.0,3.0,2.0,-8.055786,-34.951505,True,0.012375903239764088,0.00742136813532404,0.006411956097795822
1037,-98.748,-106.79,-98.396,-101.13,-89.395,-92.51428571428568,-100.03,-95.44,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1039,-79.44,-91.8142857142857,-68.82,-87.89,-89.9,-88.7342857142857,-82.81,-98.012,-97.755,2.0,3.0,4.0,-8.04848,-34.95198,False,0.005060039525537609,0.008535511935439347,0.009046104133827117
1042,-109.088333333333,-107.2,-107.01,-108.43,-106.015714285714,-103.524285714286,-103.19,-103.5,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1043,-98.748,-99.67,-98.61,-95.35,-90.022,-90.7471428571429,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1045,-115.0,-115.0,-115.0,-115.0,-115.0,-115.0,-95.15625,-89.625,-115.0,5.0,3.0,2.0,-8.055605,-34.951728,True,0.012188035485672457,0.0075603148744005436,0.006178576616017035
1046,-106.07,-115.0,-106.67,-104.161666666667,-99.31,-93.39,-96.1342857142857,-95.6233333333333,-115.0,5.0,3.0,2.0,-8.055424,-34.951597,True,0.012010762881683379,0.007374061364000055,0.0063038579457371175
1048,-109.088333333333,-107.2,-107.148571428571,-108.8225,-104.902857142857,-104.005,-104.68,-106.02,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1049,-98.748,-99.67,-98.61,-95.98,-86.785,-84.3442857142857,-100.03,-95.755,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1051,-115.0,-115.0,-115.0,-115.0,-96.33,-92.66833333333332,-82.8066666666667,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True,0.01228223338810961,0.007221406857398423,0.006579077214928061
1053,-98.748,-99.67,-98.61,-99.37,-89.27,-89.1928571428572,-100.03,-99.21,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1054,-89.8728571428571,-92.26142857142858,-93.5557142857143,-45.08,-77.96,-86.11142857142859,-92.95,-94.05,-97.6,4.0,1.0,5.0,-8.05188,-34.94661,False,0.010031136525838156,0.0021853933284442014,0.011802444662020314
1055,-98.748,-99.67,-98.61,-97.11,-89.8825,-90.81857142857142,-100.03,-92.995,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1056,-100.83,-115.0,-98.56,-115.0,-100.406666666667,-97.84571428571432,-99.255,-98.118,-115.0,5.0,3.0,3.0,-8.055833999999999,-34.951362,True,0.012430383743070294,0.007309120056482707,0.006558173526217989
1057,-79.41,-95.00714285714292,-85.03,-99.26,-94.9675,-93.29,-90.1316666666667,-102.204,-79.66,4.0,6.0,2.0,-8.05101,-34.959509999999995,False,0.010677462245306782,0.014956625421528893,0.004600891218011741
1060,-75.12,-88.9871428571429,-85.4,-91.5303333333333,-87.71,-91.645,-80.27944444444451,-102.828,-98.36,2.0,5.0,4.0,-8.047369999999999,-34.95398,False,0.0044184725867668475,0.010821703377938582,0.00886390997246827
1062,-98.748,-99.67,-98.61,-97.8,-88.725,-90.9714285714286,-100.03,-92.995,-115.0,5.0,3.0,3.0,-8.055494,-34.951316,True,0.012093359004015508,0.007136073990649065,0.006586298808894758
1063,-93.70142857142858,-96.4985714285714,-90.09,-97.99,-95.3975,-97.05,-94.57,-96.198,-97.5525,4.0,4.0,2.0,-8.053189999999999,-34.953959999999995,False,0.009964662563277297,0.009292843698242308,0.00447889495300582
1065,-85.69714285714291,-88.1457142857143,-89.28,-60.08,-78.265,-77.88285714285709,-88.82,-89.898,-97.6,4.0,1.0,4.0,-8.05223,-34.94794,False,0.009700499987112577,0.003333980203905903,0.010428312423397763
1066,-100.85,-115.0,-100.06,-115.0,-98.615,-96.1,-94.42,-92.865,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1067,-90.45,-96.2,-92.55285714285708,-96.58,-87.89,-92.0642857142857,-78.6366666666667,-68.34,-94.5675,5.0,4.0,1.0,-8.05561,-34.954370000000004,False,0.012418252695127377,0.010072219417791796,0.0035418921496827615
1068,-91.44714285714292,-90.74,-92.29428571428568,-93.0216666666667,-79.3775,-69.73,-90.1733333333333,-90.5772727272727,-95.8575,7.0,3.0,5.0,-8.05914,-34.9462,False,0.016755846740765048,0.00643407211647467,0.012307818653201895
1069,-109.088333333333,-107.2,-106.35,-109.54,-105.567142857143,-104.704285714286,-104.23,-104.29,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1070,-93.95142857142858,-97.79142857142858,-94.49,-96.6016666666667,-92.6075,-91.19714285714292,-77.12,-76.532,-93.7425,5.0,4.0,1.0,-8.055769999999999,-34.955,False,0.012709150246967409,0.010722032643114898,0.00293470611816953
1073,-101.196666666667,-115.0,-96.04,-115.0,-98.615,-96.1,-94.42,-94.335,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1074,-100.866666666667,-115.0,-99.75,-115.0,-102.805,-98.99,-100.31,-99.5725,-115.0,5.0,3.0,2.0,-8.055506,-34.951693,True,0.012089898469383464,0.007492522739373084,0.006209786228208023
1076,-109.088333333333,-107.2,-107.148571428571,-107.9375,-105.087142857143,-104.704285714286,-103.73,-105.125,-115.0,5.0,3.0,2.0,-8.05538,-34.951736,True,0.011962913357539847,0.0074900064085416974,0.00616429201125858
1080,-115.0,-115.0,-115.0,-115.0,-96.33,-93.4833333333333,-83.4966666666667,-78.2614285714286,-115.0,5.0,3.0,3.0,-8.055684,-34.951331,True,0.01228223338810961,0.007221406857398423,0.006579077214928061
